iter	RMSE
0	358421.2436
1	341709.2223
2	323158.47
3	310780.4992
4	295847.7007
5	282048.9181
6	270398.3514
7	257574.2266
8	247927.5864
9	239159.1395
10	230824.2474
11	222771.8863
12	216378.352
13	205998.7394
14	197364.1104
15	189075.0466
16	182036.0104
17	175701.4854
18	169668.7066
19	162572.8851
20	157572.2388
21	152412.9307
22	148033.825
23	143729.4107
24	139092.344
25	136085.1098
26	132255.189
27	128498.0878
28	124557.023
29	122390.3961
30	119377.0244
31	117114.528
32	115096.9457
33	113466.7299
34	112308.0064
35	108913.7639
36	107100.7158
37	105851.6544
38	102881.5708
39	101603.6151
40	99320.77466
41	97026.27192
42	96243.33744
43	95072.8616
44	93357.64162
45	92067.52421
46	90693.15119
47	89950.20142
48	88915.30657
49	87241.14625
50	86370.33811
51	85618.7638
52	84618.59584
53	83821.2535
54	82335.60646
55	81248.68355
56	80706.68665
57	79594.43135
58	79162.15267
59	78587.28141
60	78006.99022
61	77763.81042
62	76600.01959
63	75427.7042
64	75156.13748
65	74876.30293
66	74044.36735
67	73201.44442
68	72139.14819
69	71271.73381
70	70928.37538
71	70839.99667
72	70607.39772
73	70484.66847
74	70383.24349
75	70257.08106
76	69930.93833
77	69310.86445
78	69194.68496
79	69121.93638
80	69016.52655
81	68800.03329
82	68679.56279
83	68586.47907
84	68404.47082
85	67742.12643
86	67576.90377
87	67064.59022
88	66303.88201
89	66198.82216
90	65554.37817
91	65468.19864
92	65299.32797
93	65213.95728
94	65132.70793
95	65053.71445
96	64981.558
97	64768.44722
98	64290.02694
99	64205.86635
100	64134.3064
101	63645.07778
102	63569.76554
103	63495.50221
104	63034.552
105	62383.16703
106	61995.25929
107	61927.04769
108	61861.99058
109	61794.06436
110	61616.12933
111	61512.00613
112	61176.97358
113	60680.39195
114	60622.75425
115	60049.70205
116	59564.07896
117	59508.41641
118	59182.74889
119	59130.07374
120	58754.79126
121	58703.92084
122	58448.21812
123	58338.54891
124	58289.42652
125	58242.1464
126	57919.47258
127	57873.69737
128	57531.86239
129	57437.20771
130	57220.80779
131	57162.86507
132	56962.94265
133	56382.22714
134	56252.4723
135	56166.52801
136	55800.46737
137	55756.17839
138	55714.10272
139	55274.8517
140	55109.56563
141	54663.28603
142	54623.25868
143	54315.33765
144	54276.18428
145	54063.33226
146	53740.82942
147	53702.87376
148	53666.46278
149	53394.37927
150	53358.98055
151	53169.06369
152	52980.92072
153	52837.06222
154	52803.00221
155	52693.49208
156	52393.79681
157	52361.072
158	52160.02353
159	51914.33653
160	51855.53702
161	51824.1924
162	51647.76405
163	51617.52576
164	51498.33385
165	51128.16305
166	51099.03053
167	50951.74723
168	50783.51562
169	50502.85887
170	50410.26952
171	50381.58339
172	50071.1092
173	50043.16798
174	49797.9568
175	49720.7908
176	49489.47549
177	49462.41386
178	49396.80892
179	49237.47768
180	49179.25068
181	49152.63315
182	49005.7174
183	48777.82014
184	48752.02718
185	48603.41126
186	48552.02901
187	48526.90164
188	48502.29732
189	48478.33263
190	48200.14846
191	48150.65474
192	48127.02637
193	47906.35327
194	47794.82641
195	47652.42212
196	47602.03791
197	47297.58852
198	47274.41444
199	47251.80162
200	47109.25725
201	46953.78782
202	46831.33242
203	46629.223
204	46606.68745
205	46433.20448
206	46304.43662
207	46282.55693
208	46261.11258
209	46185.41125
210	45930.22394
211	45885.79461
212	45864.68888
213	45824.17703
214	45791.92822
215	45771.30649
216	45651.6291
217	45426.79018
218	45377.47617
219	45357.32671
220	45337.59177
221	45138.69086
222	45119.26645
223	45100.32566
224	45052.25378
225	45032.22259
226	44953.0774
227	44886.44321
228	44868.80837
229	44776.51578
230	44758.93997
231	44718.33839
232	44669.26019
233	44650.61933
234	44492.51972
235	44474.52584
236	44457.04973
237	44439.65552
238	44306.85666
239	44291.13339
240	44274.65155
241	44259.55104
242	44154.77968
243	44138.35584
244	44098.37924
245	44071.83766
246	43928.05963
247	43912.3151
248	43794.0929
249	43686.68287
250	43645.32683
251	43630.14416
252	43493.69279
253	43462.42616
254	43446.27064
255	43311.04416
256	43295.17463
257	43177.19655
258	43144.67689
259	43061.38823
260	42884.93738
261	42831.48464
262	42815.74867
263	42693.14337
264	42655.119
265	42640.80625
266	42605.78857
267	42591.21509
268	42423.537
269	42409.5974
270	42377.13643
271	42183.39392
272	42114.08595
273	42099.7302
274	42071.04034
275	42056.5558
276	41913.24753
277	41899.82414
278	41851.34651
279	41814.29528
280	41772.96311
281	41759.96458
282	41625.61188
283	41613.00632
284	41529.52654
285	41478.14911
286	41465.38661
287	41434.17537
288	41420.70744
289	41272.1861
290	41247.43762
291	41234.11179
292	41132.92383
293	41119.72738
294	40976.90276
295	40930.60991
296	40910.23963
297	40882.92098
298	40822.90664
299	40807.8788
300	40771.18973
301	40666.06333
302	40537.54981
303	40524.71847
304	40399.52453
305	40386.91795
306	40374.60103
307	40307.39119
308	40222.50772
309	40210.34779
310	40198.95205
311	40187.04442
312	40170.70749
313	40158.99054
314	40147.00706
315	40075.47282
316	39937.40353
317	39874.60796
318	39845.83312
319	39746.96132
320	39694.55906
321	39534.03804
322	39521.9566
323	39510.43674
324	39477.34112
325	39321.94823
326	39188.8396
327	39093.30076
328	39065.97542
329	39054.61652
330	38956.88684
331	38945.69869
332	38920.90501
333	38909.88302
334	38833.24592
335	38810.49046
336	38799.73937
337	38671.48716
338	38558.81009
339	38501.4781
340	38469.14097
341	38453.56683
342	38346.75519
343	38315.30384
344	38304.47993
345	38255.62516
346	38245.47403
347	38165.22824
348	38145.25714
349	38035.12894
350	37993.98879
351	37935.1343
352	37924.72728
353	37830.86812
354	37820.62984
355	37790.72597
356	37696.82243
357	37678.5042
358	37668.00381
359	37578.40881
360	37567.93579
361	37484.97128
362	37475.00987
363	37465.31484
364	37456.38863
365	37431.29324
366	37415.84978
367	37283.18165
368	37273.84042
369	37264.28249
370	37146.18104
371	37076.30934
372	37015.80108
373	37001.1548
374	36932.08234
375	36922.90837
376	36814.13983
377	36734.75889
378	36717.3813
379	36708.20604
380	36660.91622
381	36631.60969
382	36622.52011
383	36507.05476
384	36498.89729
385	36425.13601
386	36313.63341
387	36261.85719
388	36228.00515
389	36218.97141
390	36210.1093
391	36188.2483
392	36115.69936
393	36040.42742
394	35956.97189
395	35926.08099
396	35905.40279
397	35896.99611
398	35888.29254
399	35841.48495
400	35825.65755
401	35812.17245
402	35803.58987
403	35775.59307
404	35707.12625
405	35695.81332
406	35656.84698
407	35564.52302
408	35555.90336
409	35462.25457
410	35453.98193
411	35445.97247
412	35437.66583
413	35429.52921
414	35377.92997
415	35303.35301
416	35295.39536
417	35263.16548
418	35242.2916
419	35224.6217
420	35216.83283
421	35171.80649
422	35146.19428
423	35129.93138
424	35097.40336
425	35089.93137
426	35075.13983
427	35053.91731
