iter	Passed	Remaining
0	8	8564
1	17	8574
2	22	7628
3	30	7704
4	37	7440
5	43	7145
6	50	7175
7	57	7107
8	65	7211
9	71	7096
10	78	7083
11	85	7030
12	92	7032
13	101	7157
14	108	7152
15	117	7199
16	123	7113
17	131	7164
18	137	7121
19	145	7111
20	153	7145
21	162	7206
22	168	7145
23	175	7131
24	181	7087
25	187	7036
26	195	7046
27	201	7007
28	209	6998
29	216	6999
30	225	7036
31	236	7162
32	245	7183
33	254	7232
34	260	7186
35	268	7191
36	274	7155
37	283	7182
38	291	7193
39	298	7175
40	307	7200
41	314	7179
42	323	7196
43	329	7151
44	335	7122
45	342	7098
46	349	7076
47	358	7115
48	364	7079
49	373	7103
50	381	7097
51	390	7111
52	397	7110
53	407	7137
54	415	7139
55	423	7139
56	430	7114
57	441	7170
58	452	7209
59	461	7237
60	471	7258
61	480	7262
62	489	7283
63	499	7299
64	507	7300
65	517	7318
66	525	7317
67	533	7313
68	541	7300
69	549	7304
70	558	7305
71	565	7294
72	573	7287
73	582	7286
74	589	7274
75	597	7262
76	604	7250
77	613	7256
78	622	7255
79	630	7245
80	638	7241
81	646	7243
82	655	7242
83	664	7248
84	671	7228
85	679	7226
86	687	7211
87	696	7222
88	705	7216
89	713	7216
90	721	7203
91	730	7206
92	737	7193
93	745	7188
94	753	7178
95	761	7167
96	768	7153
97	777	7152
98	785	7146
99	794	7151
100	802	7139
101	811	7142
102	817	7121
103	825	7114
104	833	7103
105	840	7087
106	847	7075
107	857	7081
108	864	7067
109	872	7056
110	879	7047
111	888	7041
112	895	7029
113	903	7021
114	912	7021
115	919	7010
116	927	6999
117	934	6984
118	942	6979
119	949	6962
120	958	6963
121	965	6948
122	974	6945
123	980	6928
124	988	6922
125	995	6904
126	1003	6900
127	1011	6887
128	1019	6880
129	1026	6870
130	1034	6861
131	1042	6857
132	1051	6856
133	1059	6849
134	1067	6837
135	1074	6826
136	1081	6814
137	1089	6805
138	1097	6797
139	1105	6790
140	1112	6776
141	1120	6768
142	1127	6754
143	1135	6751
144	1142	6736
145	1151	6733
146	1158	6720
147	1166	6714
148	1173	6703
149	1182	6703
150	1189	6690
151	1197	6681
152	1205	6672
153	1214	6671
154	1221	6660
155	1229	6653
156	1237	6644
157	1245	6636
158	1253	6628
159	1260	6618
160	1268	6609
161	1276	6600
162	1283	6593
163	1290	6578
164	1298	6570
165	1304	6555
166	1311	6542
167	1318	6527
168	1325	6518
169	1332	6505
170	1338	6487
171	1345	6474
172	1351	6458
173	1358	6447
174	1364	6430
175	1369	6414
176	1376	6401
177	1382	6386
178	1389	6371
179	1395	6356
180	1401	6341
181	1408	6329
182	1414	6316
183	1421	6303
184	1427	6290
185	1434	6276
186	1441	6265
187	1447	6250
188	1454	6239
189	1461	6229
190	1467	6216
191	1475	6209
192	1481	6196
193	1488	6185
194	1495	6174
195	1503	6166
196	1510	6158
197	1519	6154
198	1528	6152
199	1536	6147
200	1545	6141
