iter	MAE
0	4792.110145
1	4662.654361
2	4535.008275
3	4410.467489
4	4290.167278
5	4185.715482
6	4088.854286
7	3997.042986
8	3924.493376
9	3833.899051
10	3750.562288
11	3671.325382
12	3594.801508
13	3532.859689
14	3469.42805
15	3413.947563
16	3349.242502
17	3295.676919
18	3234.36741
19	3181.02197
20	3122.406349
21	3079.193564
22	3038.364918
23	2992.624943
24	2952.249176
25	2920.988818
26	2884.415141
27	2853.905473
28	2811.476725
29	2774.310778
30	2736.806183
31	2705.394308
32	2677.762101
33	2646.241903
34	2618.140802
35	2595.923653
36	2571.154436
37	2545.962344
38	2526.510002
39	2504.802561
40	2483.783515
41	2459.457276
42	2439.898335
43	2420.759676
44	2405.619951
45	2384.983258
46	2366.664204
47	2355.327444
48	2337.278499
49	2325.840832
50	2309.191729
51	2298.062157
52	2284.9064
53	2271.417031
54	2261.350039
55	2249.90134
56	2241.86258
57	2232.382345
58	2222.355757
59	2210.123433
60	2199.214918
61	2193.530648
62	2186.700986
63	2175.7836
64	2166.87581
65	2161.58799
66	2153.816508
67	2146.867567
68	2137.211018
69	2128.9753
70	2121.573844
71	2114.004083
72	2106.908518
73	2098.252972
74	2090.780516
75	2082.63759
76	2070.012486
77	2062.319346
78	2054.367665
79	2047.741092
80	2038.421667
81	2033.481363
82	2026.277049
83	2022.720937
84	2017.566676
85	2010.875052
86	2007.637862
87	2001.507948
88	1995.80648
89	1990.360289
90	1984.192338
91	1979.738358
92	1973.711064
93	1969.513604
94	1964.168833
95	1960.486758
96	1955.352008
97	1948.144643
98	1942.434661
99	1939.969634
100	1934.435338
101	1929.720162
102	1927.608233
103	1923.981778
104	1920.362
105	1915.695954
106	1911.654986
107	1906.861972
108	1903.808707
109	1899.680771
110	1895.626504
111	1891.735869
112	1888.866106
113	1885.080799
114	1881.635114
115	1878.695171
116	1874.978713
117	1871.514662
118	1868.368695
119	1863.889403
120	1861.51731
121	1858.289296
122	1855.218891
123	1852.408902
124	1850.600933
125	1848.439871
126	1845.687702
127	1843.012979
128	1840.856258
129	1837.435838
130	1832.585145
131	1829.298607
132	1823.984892
133	1821.839793
134	1819.207343
135	1816.926036
136	1812.884573
137	1809.89537
138	1804.817649
139	1800.138001
140	1798.100644
141	1794.992339
142	1791.958765
143	1788.718859
144	1783.727182
145	1780.160146
146	1776.274036
147	1773.326161
148	1770.393961
149	1767.783211
150	1766.164054
151	1762.447961
152	1759.686779
153	1756.407303
154	1751.503162
155	1749.372361
156	1746.529672
157	1740.991979
158	1737.196559
159	1732.918732
160	1730.327192
161	1725.2171
162	1722.668228
163	1718.810436
164	1716.206112
165	1711.13221
166	1707.731494
167	1705.216943
168	1702.315585
169	1699.488139
170	1696.577116
171	1694.120863
172	1689.866184
173	1685.205116
174	1682.64135
175	1680.479193
176	1676.571511
177	1672.568743
178	1670.545951
179	1667.049928
180	1664.004393
181	1660.650133
182	1656.457283
183	1653.554405
184	1646.948981
185	1643.036545
186	1639.662552
187	1636.445943
188	1632.528706
