iter	Passed	Remaining
0	174	245756
1	193	136319
2	210	98881
3	227	79878
4	241	67940
5	256	59962
6	269	53972
7	283	49564
8	296	46144
9	310	43449
10	324	41188
11	337	39312
12	351	37783
13	365	36426
14	378	35164
15	391	34113
16	405	33168
17	418	32361
18	432	31643
19	446	30999
20	459	30351
21	472	29800
22	487	29347
23	499	28851
24	514	28485
25	529	28149
26	541	27733
27	554	27356
28	567	26999
29	579	26656
30	593	26371
31	605	26071
32	617	25753
33	630	25496
34	642	25223
35	654	24977
36	667	24767
37	680	24567
38	693	24359
39	707	24205
40	721	24057
41	736	23959
42	749	23802
43	762	23668
44	776	23547
45	789	23387
46	801	23233
47	814	23083
48	826	22929
49	839	22814
50	851	22676
51	863	22540
52	876	22416
53	887	22271
54	899	22135
55	910	21996
56	921	21865
57	933	21745
58	945	21640
59	957	21538
60	969	21433
61	981	21320
62	993	21220
63	1005	21123
64	1016	21026
65	1028	20934
66	1040	20841
67	1051	20745
68	1063	20659
69	1075	20576
70	1087	20497
71	1099	20420
72	1111	20336
73	1122	20256
74	1134	20184
75	1146	20104
76	1158	20036
77	1169	19963
78	1181	19888
79	1193	19823
80	1205	19767
81	1217	19710
82	1229	19636
83	1240	19563
84	1252	19511
85	1264	19451
86	1276	19392
87	1288	19338
88	1299	19280
89	1311	19216
90	1322	19159
91	1334	19103
92	1346	19053
93	1358	19000
94	1370	18953
95	1382	18912
96	1395	18879
97	1407	18835
98	1420	18793
99	1432	18751
100	1444	18711
101	1457	18679
102	1469	18638
103	1482	18604
104	1495	18574
105	1508	18539
106	1522	18522
107	1535	18491
108	1547	18460
109	1559	18419
110	1571	18382
111	1584	18347
112	1597	18325
113	1610	18293
114	1622	18260
115	1635	18233
116	1648	18201
117	1660	18168
118	1672	18131
119	1684	18098
120	1696	18061
121	1708	18020
122	1720	17985
123	1732	17957
124	1745	17926
125	1757	17898
126	1770	17870
127	1783	17844
128	1795	17820
129	1808	17793
130	1821	17767
131	1833	17735
132	1845	17710
133	1858	17682
134	1871	17658
135	1883	17633
136	1896	17608
137	1909	17586
138	1922	17561
139	1934	17534
140	1947	17513
141	1960	17490
142	1972	17466
143	1986	17446
144	1998	17425
145	2011	17400
146	2023	17375
147	2036	17353
148	2049	17330
149	2062	17309
150	2074	17285
151	2088	17270
152	2101	17250
153	2114	17230
154	2127	17209
155	2140	17190
156	2152	17168
157	2165	17144
158	2178	17125
159	2190	17101
160	2203	17083
161	2217	17067
162	2229	17045
163	2242	17021
164	2254	16999
165	2267	16979
166	2280	16959
167	2293	16939
168	2306	16921
169	2318	16900
170	2331	16881
171	2345	16865
172	2358	16847
173	2372	16837
174	2386	16828
175	2403	16835
176	2418	16836
177	2435	16842
178	2452	16852
179	2467	16845
180	2483	16852
181	2498	16845
182	2514	16847
183	2529	16840
184	2545	16841
185	2560	16835
186	2576	16838
187	2591	16831
188	2605	16815
189	2618	16801
190	2633	16790
191	2646	16772
192	2659	16757
193	2673	16744
194	2687	16733
195	2700	16712
196	2714	16698
197	2728	16688
198	2743	16682
199	2758	16676
200	2772	16664
201	2786	16650
202	2799	16630
203	2812	16612
204	2825	16595
205	2839	16579
206	2852	16562
207	2865	16543
208	2878	16526
209	2891	16508
210	2903	16485
211	2916	16466
212	2929	16449
213	2942	16433
214	2956	16416
215	2969	16399
216	2982	16385
217	2995	16365
218	3008	16345
219	3020	16326
220	3034	16309
221	3046	16290
222	3059	16269
223	3071	16248
224	3083	16228
225	3096	16208
226	3110	16195
227	3124	16183
228	3137	16167
229	3152	16160
230	3166	16146
231	3180	16134
232	3195	16125
233	3209	16115
234	3224	16106
235	3237	16093
236	3252	16084
237	3266	16073
238	3281	16064
239	3296	16056
240	3310	16042
241	3325	16038
242	3340	16030
243	3355	16019
244	3368	16004
245	3382	15989
246	3396	15976
247	3410	15965
248	3424	15952
249	3438	15938
250	3451	15923
251	3465	15910
252	3478	15895
253	3493	15885
254	3507	15871
255	3520	15855
256	3533	15840
257	3547	15828
258	3561	15812
259	3574	15795
260	3588	15784
261	3601	15767
262	3615	15752
263	3629	15740
264	3641	15722
265	3655	15707
266	3669	15695
267	3683	15682
268	3697	15669
269	3711	15656
270	3724	15641
271	3738	15628
272	3751	15611
273	3765	15596
274	3779	15583
